ChannelName	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	LateralLocalizationAccuracy	Xw	Yw	Xwc	Ywc
405/561	12216.8	16519.4	12208.9	16466.2	707.08295	5575.63184	358.48575	0.62975	1.19726	418.2244	9081.29688	919	1	2	1	848.808	848.808	1003.61373	10.47749	12216.8	16519.4	12344.9696759133	16467.0818245036
405/561	12306.6	16409	12297.7	16349.8	454.86093	15202.66504	370.02087	0.43579	1.41897	455.76636	25680.62109	1012	3	75	1	801.504	801.504	2736.47971	7.14441	12306.6	16409	12434.2024960248	16350.4997322756
405/561	12309.5	16449.6	12300	16386.8	689.17627	9117.57031	320.7991	1.26713	1.53454	430.83075	31881.95703	1069	2	86	1	826.128	826.128	1641.16266	7.37218	12309.5	16449.6	12436.7677749274	16387.3881268206
405/561	12331.8	16395.5	12312.8	16318.8	809.28119	9545.36816	331.5979	1.11025	1.62579	452.12524	17788.58398	1343	2	11	1	807.984	807.984	1718.16627	7.62173	12331.8	16395.5	12450.8429816703	16318.8516357587
405/561	12260.3	16368.6	12241.2	16291.6	718.13879	5164.98145	342.36569	0.25607	1.36502	653.39209	8997.44824	1347	1	7	1	831.96	831.96	929.69666	12.18095	12260.3	16368.6	12379.2615978352	16291.6438037703
405/561	12274.5	16531.7	12254.8	16453.3	374.32767	3029.45386	363.17529	0.45032	1.33513	261.06891	6290.39844	1366	1	25	1	820.296	820.296	545.30169	15.25961	12274.5	16531.7	12392.9500246185	16453.3066018252
405/561	12326.4	16437.7	12304.9	16355.4	543.15826	10397.87695	351.44907	0.00829	1.37592	426.96295	13815.02148	1421	2	54	1	823.536	823.536	1871.61785	7.65904	12326.4	16437.7	12443.3059968859	16355.2989119844
405/561	12349	16388.3	12325.7	16301.8	669.47906	8804.83496	334.1091	1.07823	1.64633	388.36154	18541.77148	1480	2	41	1	803.448	803.448	1584.87029	7.83948	12349	16388.3	12464.3805853182	16301.5833901551
405/561	12344.7	16448.4	12320.8	16360.6	523.41681	4229.14111	362.87939	0.24145	1.41697	441.70789	7284.49414	1499	1	34	1	807.984	807.984	761.2454	13.85048	12344.7	16448.4	12459.5690121014	16360.3461882101
405/561	12329.6	16441.3	12304.8	16352.7	981.26819	10552.5791	342.07898	0.26898	1.36684	407.15186	18133.36133	1551	2	23	1	831.96	831.96	1899.46424	7.11433	12329.6	16441.3	12443.8110222452	16352.3443723606
