ChannelName	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	LateralLocalizationAccuracy	Xw	Yw	Xwc	Ywc
405/561	16445.6	9195.4	16445.6	9195.4	146.95323	1297.86047	379.38876	1.44712	1.13817	363.57706	1184.94849	80	1	611	1	18.216	18.216	233.61489	41.05522	16445.6	9195.4	16573.1032035029	9150.66071335017
405/561	17895	8088.9	17895	8088.9	219.94925	1692.63745	354.14471	0.25259	1.52208	375.67868	2249.58276	83	1	664	1	-27.144	-27.144	304.67474	28.49739	17895	8088.9	18022.4950128296	8044.16689844848
405/561	18232.3	8789.5	18232	8789.2	206.9279	1575.72498	352.2822	0.23869	1.28202	323.99686	1987.88904	111	1	441	1	9.792	9.792	283.6305	28.3039	18232.3	8789.5	18359.4189053549	8744.52616752337
405/561	16951.3	8593.6	16950.3	8592.5	186.09882	1417.67188	352.35147	0.39426	1.21242	339.89911	2210.52197	129	1	417	1	22.104	22.104	255.18094	31.89736	16951.3	8593.6	17077.670307823	8547.86574665316
405/561	18484.7	8127.6	18483.6	8126.5	749.3656	5089.33838	332.69312	1.01606	1.5938	551.73999	4506.31787	131	1	21	1	-17.424	-17.424	916.08091	11.01721	18484.7	8127.6	18610.964924237	8081.8702160523
405/561	18336.6	8849.2	18335.5	8848.1	184.21538	3150.01392	346.34326	0.31476	1.4495	344.79938	4069.72607	131	2	766	1	-10.944	-10.944	567.0025	19.92715	18336.6	8849.2	18462.864924237	8803.4702160523
405/561	18111.3	9161.4	18109.6	9159.7	280.05273	4656.3623	366.72906	0.6287	1.30584	319.20084	5282.7832	146	2	638	1	-5.76	-5.76	838.14521	14.96567	18111.3	9161.4	18236.9246514453	9115.10419531628
405/561	16649	8192.2	16647.2	8190.4	447.28906	5310.70313	325.98682	0.6476	1.28851	313.70578	13224.375	149	2	121	1	25.992	25.992	955.92656	10.74932	16649	8192.2	16774.5166190788	8145.81108851019
405/561	17256.8	8514.9	17254.7	8512.8	303.98355	11264.26855	365.09531	0.41533	1.37216	338.06622	12458.42285	156	5	247	1	-15.48	-15.48	2027.56834	9.90295	17256.8	8514.9	17381.9979058949	8468.22729911968
405/561	16391.5	8810.1	16389	8807.6	165.45692	1063.53137	323.66275	1.39085	1.6512	315.716	1699.30286	166	1	697	1	-16.776	-16.776	191.43565	34.50748	16391.5	8810.1	16516.2712436763	8763.05076492141
405/561	18500.8	8180.3	18498.1	8177.6	808.61896	6143.83643	351.89081	0.34693	1.22719	474.27112	5639.27783	172	1	152	1	19.512	19.512	1105.89056	9.77287	18500.8	8180.3	18625.3552866831	8133.06501860011
405/561	18144.7	8889.6	18141.9	8886.8	406.24536	10876.37305	365.74969	0.65842	1.282	370.20007	15136.4873	174	4	253	1	-0.576	-0.576	1957.74715	9.7177	18144.7	8889.6	18269.1499744474	8842.26979890989
405/561	16780.8	8894.2	16777.7	8891.2	364.63156	7908.99902	347.5264	0.37933	1.49499	396.63535	6401.74121	180	3	249	1	-18.072	-18.072	1423.61982	10.82454	16780.8	8894.2	16904.9340581179	8846.68422720788
405/561	16837.1	9108.6	16833.9	9105.4	252.21992	1525.76257	313.98856	1.37661	1.47109	353.38281	1969.45483	186	1	274	1	9.792	9.792	274.63726	24.49118	16837.1	9108.6	16961.1181724912	9060.89878673596
405/561	17468.4	8436.7	17464.9	8433.2	380.92993	2841.052	348.63989	0.45707	1.54484	286.05975	5542.89502	193	1	468	1	-25.2	-25.2	511.38936	15.55155	17468.4	8436.7	17592.0996782998	8388.71593901604
405/561	17306.9	8230	17303.2	8226.3	243.31744	1846.11597	351.64374	0.28073	1.50367	269.65805	5707.67041	196	1	427	1	-22.608	-22.608	332.30087	22.61209	17306.9	8230	17430.3917651532	8181.82334485687
405/561	18747.3	8165.1	18743.5	8161.4	397.54935	5213.65918	327.32132	1.47018	1.75177	368.5318	5042.07178	200	2	247	1	-29.088	-29.088	938.45865	11.69523	18747.3	8165.1	18870.6812264172	8116.93327058626
405/561	18694.1	8198	18689.6	8193.6	254.84595	6281.95898	311.50867	1.27484	1.36025	318.87271	9325.71484	217	3	434	1	25.344	25.344	1130.75262	10.05235	18694.1	8198	18816.7365925608	8149.17611019692
405/561	16533.6	8445.3	16528.8	8440.5	320.95255	2136.86133	329.4032	1.33621	1.71123	258.09976	4326.93652	225	1	442	1	-27.144	-27.144	384.63504	17.39638	16533.6	8445.3	16655.9156764473	8396.09663812545
405/561	18126.9	9088	18121.1	9082.2	185.43861	2072.66626	318.84885	1.19909	1.46131	338.7489	3084.89502	251	2	469	1	7.848	7.848	373.07993	25.07514	18126.9	9088	18248.1480943952	9037.86498886721
405/561	18171.7	8327	18165.1	8320.6	348.67789	5877.08105	363.84363	0.47959	1.33129	446.08554	6984.63672	270	2	458	1	-7.704	-7.704	1057.87459	13.68976	18171.7	8327	18292.0990960087	8276.31652678484
